allele,n_peptides,lambda,epsilon,epochs,fake_pcc,fake_mse
A2601,672,0.001,0.05,200,0.477176,0.025291
A2601,672,0.001,0.1,200,0.406334,0.032807
A2601,672,0.003,0.01,200,0.536825,0.021381
A2601,672,0.003,0.05,200,0.477235,0.025282
A2601,672,0.003,0.1,200,0.406382,0.032797
A2601,672,0.01,0.01,200,0.537064,0.021357
A2601,672,0.01,0.05,200,0.477442,0.025255
A2601,672,0.01,0.1,200,0.406546,0.032761
A2601,672,0.1,0.01,200,0.539924,0.021063
A2601,672,0.1,0.05,200,0.479839,0.024925
A2601,672,0.1,0.1,200,0.408439,0.032335
A2601,672,0.3,0.01,200,0.545148,0.020536
A2601,672,0.3,0.05,200,0.484151,0.024325
A2601,672,0.3,0.1,200,0.412072,0.031524
A2601,672,1.0,0.01,200,0.556885,0.019396
A2601,672,1.0,0.05,200,0.494152,0.022951
A2601,672,1.0,0.1,200,0.421351,0.029531
A2601,672,3.0,0.01,200,0.571802,0.018077
A2601,672,3.0,0.05,200,0.507954,0.021089
A2601,672,3.0,0.1,200,0.434733,0.026610
A2601,672,10.0,0.01,200,0.581345,0.017413
A2601,672,10.0,0.05,200,0.518106,0.019417
A2601,672,10.0,0.1,200,0.439042,0.023590
A2601,672,30.0,0.01,200,0.568387,0.018826
A2601,672,30.0,0.05,200,0.493564,0.020125
A2601,672,30.0,0.1,200,0.398871,0.023165
A2902,160,0.001,0.01,200,0.668224,0.082532
A2902,160,0.001,0.05,200,0.634524,0.120437
A2902,160,0.001,0.1,200,0.614188,0.149334
A2902,160,0.003,0.01,200,0.668608,0.082283
A2902,160,0.003,0.05,200,0.636329,0.118742
A2902,160,0.003,0.1,200,0.618028,0.144948
A2902,160,0.01,0.01,200,0.669929,0.081430
A2902,160,0.01,0.05,200,0.642177,0.113354
A2902,160,0.01,0.1,200,0.629668,0.132229
A2902,160,0.1,0.01,200,0.684350,0.072565
A2902,160,0.1,0.05,200,0.680331,0.081218
A2902,160,0.1,0.1,200,0.679172,0.085619
A2902,160,0.3,0.01,200,0.704794,0.061331
A2902,160,0.3,0.05,200,0.703085,0.064420
A2902,160,0.3,0.1,200,0.698841,0.071758
A2902,160,1.0,0.01,200,0.732611,0.049012
A2902,160,1.0,0.05,200,0.725328,0.051839
A2902,160,1.0,0.1,200,0.711917,0.064284
A2902,160,3.0,0.01,200,0.748611,0.045022
A2902,160,3.0,0.05,200,0.729997,0.047671
A2902,160,3.0,0.1,200,0.695941,0.065671
A2902,160,10.0,0.01,200,0.729347,0.052445
A2902,160,10.0,0.05,200,0.689100,0.053404
A2902,160,10.0,0.1,200,0.632102,0.074519
A2902,160,30.0,0.01,200,0.658043,0.072797
A2902,160,30.0,0.05,200,0.609496,0.068653
A2902,160,30.0,0.1,200,0.556914,0.080709
A3001,669,0.001,0.01,200,0.644926,0.029109
A3001,669,0.001,0.05,200,0.616953,0.032821
A3001,669,0.001,0.1,200,0.573203,0.039583
A3001,669,0.003,0.01,200,0.644989,0.029100
A3001,669,0.003,0.05,200,0.617048,0.032806
A3001,669,0.003,0.1,200,0.573309,0.039560
A3001,669,0.01,0.01,200,0.645205,0.029066
A3001,669,0.01,0.05,200,0.617366,0.032754
A3001,669,0.01,0.1,200,0.573644,0.039485
A3001,669,0.1,0.01,200,0.647791,0.028666
A3001,669,0.1,0.05,200,0.620350,0.032230
A3001,669,0.1,0.1,200,0.575989,0.038819
A3001,669,0.3,0.01,200,0.652538,0.027936
A3001,669,0.3,0.05,200,0.624565,0.031399
A3001,669,0.3,0.1,200,0.578918,0.037755
A3001,669,1.0,0.01,200,0.663491,0.026295
A3001,669,1.0,0.05,200,0.633542,0.029549
A3001,669,1.0,0.1,200,0.584516,0.035303
A3001,669,3.0,0.01,200,0.678361,0.024310
A3001,669,3.0,0.05,200,0.644537,0.027252
A3001,669,3.0,0.1,200,0.589291,0.032018
A3001,669,10.0,0.01,200,0.691829,0.023584
A3001,669,10.0,0.05,200,0.649304,0.026371
A3001,669,10.0,0.1,200,0.582146,0.029861
A3001,669,30.0,0.01,200,0.691451,0.027311
A3001,669,30.0,0.05,200,0.628918,0.030643
A3001,669,30.0,0.1,200,0.527148,0.033919
A3002,92,0.001,0.01,200,0.435963,0.072588
A3002,92,0.001,0.05,200,0.387851,0.094992
A3002,92,0.001,0.1,200,0.381465,0.098847
A3002,92,0.003,0.01,200,0.436631,0.072367
A3002,92,0.003,0.05,200,0.390663,0.093537
A3002,92,0.003,0.1,200,0.386186,0.096338
A3002,92,0.01,0.01,200,0.438929,0.071616
A3002,92,0.01,0.05,200,0.399803,0.089033
A3002,92,0.01,0.1,200,0.400186,0.089407
A3002,92,0.1,0.01,200,0.463052,0.064450
A3002,92,0.1,0.05,200,0.457079,0.066670
A3002,92,0.1,0.1,200,0.456657,0.066543
A3002,92,0.3,0.01,200,0.490271,0.057487
A3002,92,0.3,0.05,200,0.482466,0.058135
A3002,92,0.3,0.1,200,0.476133,0.058840
A3002,92,1.0,0.01,200,0.498746,0.053771
A3002,92,1.0,0.05,200,0.477225,0.055091
A3002,92,1.0,0.1,200,0.458577,0.056631
A3002,92,3.0,0.01,200,0.468725,0.056307
A3002,92,3.0,0.05,200,0.424000,0.058412
A3002,92,3.0,0.1,200,0.382453,0.060882
A3002,92,10.0,0.01,200,0.397997,0.067667
A3002,92,10.0,0.05,200,0.311327,0.069592
A3002,92,10.0,0.1,200,0.245266,0.072494
A3002,92,30.0,0.01,200,0.306421,0.092742
A3002,92,30.0,0.05,200,0.136155,0.095641
A3002,92,30.0,0.1,200,0.010760,0.102246
A3101,1869,0.001,0.01,200,0.745871,0.029564
A3101,1869,0.001,0.05,200,0.711816,0.034408
A3101,1869,0.001,0.1,200,0.662461,0.043160
A3101,1869,0.003,0.01,200,0.745877,0.029563
A3101,1869,0.003,0.05,200,0.711823,0.034406
A3101,1869,0.003,0.1,200,0.662470,0.043157
A3101,1869,0.01,0.01,200,0.745901,0.029559
A3101,1869,0.01,0.05,200,0.711845,0.034400
A3101,1869,0.01,0.1,200,0.662497,0.043147
